대여소번호,대여소명,전체이용건수,최초관측일,최종관측일,출근시간비중,퇴근시간비중,주말비중,심야비중,자치구,상세주소,위도,경도,설치일,거치대수,운영방식,관측일수,일평균이용건수,거치대당일평균이용건수,일평균이용건수점수,출근시간비중점수,퇴근시간비중점수,주말비중점수,거치대당일평균이용건수점수,동일가중치점수,집중운영점수,우선관리등급,군집
786,786.목동아파트 8단지 상가동 앞,29591,2025-06-01,2026-06-30,0.21293636578689468,0.2727518502247305,0.2828900679260586,0.15322226352607213,양천구,양천구 목동서로 280,37.52007294,126.86830139,2020-03-18 00:00:00,9.0,QR,395,74.91392405063291,8.323769338959213,5,4,3,5,5,22,4.25,집중,1
731,731. 서울시 도로환경관리센터,38340,2025-06-01,2026-06-30,0.11335419926969223,0.357642149191445,0.3023735002608242,0.16705790297339593,양천구,서울특별시 양천구 목동동로 316-6,37.5298996,126.87654114,2017-11-01 16:00:00,10.0,LCD,395,97.0632911392405,9.70632911392405,5,2,5,5,5,22,4.25,집중,1
593,593.자양중앙나들목,22936,2025-06-01,2026-06-30,0.25039239623299614,0.249956400418556,0.3230292989187304,0.1574380885943495,광진구,서울특별시 광진구 자양강변길 301 광진구 자양2동 705,37.52845383,127.07803345,2017-10-18 11:17:05,8.0,QR,395,58.06582278481012,7.258227848101265,5,5,2,5,5,22,4.25,집중,1
228,228. 선유도역 3번출구 앞,41758,2025-06-01,2026-06-30,0.1341299870683462,0.3413477656975909,0.29433880932994877,0.18394080176253652,영등포구,서울특별시 영등포구 양평동4가 202-1,37.53845978,126.89450836,2016-06-29 12:00:00,10.0,QR,395,105.71645569620253,10.571645569620253,5,2,5,5,5,22,4.25,집중,1
362,362. 청계8가사거리 A,25792,2025-06-01,2026-06-30,0.2520549007444169,0.2317772952853598,0.289159429280397,0.19122208436724566,종로구,서울특별시 종로구 청계천로 407 청계8가 사거리,37.57219696,127.02304077,2016-06-01 14:30:00,10.0,LCD,395,65.29620253164558,6.529620253164557,5,5,2,5,5,22,4.25,집중,1
4553,4553. 당산삼성2차아파트,35013,2025-06-01,2026-06-30,0.25684745665895525,0.2698711907005969,0.22445948647645161,0.20366720932225174,영등포구,영등포구 당산동4가 94-1,37.52762222,126.89863586,2021-05-17 00:00:00,10.0,QR,395,88.64050632911392,8.864050632911392,5,5,3,2,5,20,4.2,집중,1
3500,3500. 군자역2번출구,30828,2025-06-01,2026-06-30,0.19307123394316855,0.31020500843389126,0.22898014791747762,0.21652393927598287,광진구,서울특별시 광진구 능동로 313 군자역2번출구,37.55758667,127.07969666,2017-11-01 10:28:27,7.0,LCD,395,78.04556962025316,11.149367088607594,5,4,4,2,5,20,4.2,집중,1
3518,3518. 군자역 7번출구뒤,55695,2025-06-01,2026-06-30,0.19714516563425802,0.3076577789747733,0.2249753119669629,0.21650058353532634,광진구,서울특별시 광진구 천호대로 지하 550 군자역 7번출구 뒤,37.55686188,127.07913971,2017-11-28 10:22:49,8.0,LCD,395,141.0,17.625,5,4,4,2,5,20,4.2,집중,1
240,240. 문래역 4번출구 앞,48986,2025-06-01,2026-06-30,0.22159392479483933,0.3358714734822194,0.21336708447311475,0.13599804025639978,영등포구,서울특별시 영등포구 문래동3가 55-12 ,37.51873779,126.89557648,2016-06-29 12:00:00,10.0,LCD,395,124.01518987341773,12.401518987341772,5,4,4,2,5,20,4.2,집중,1
3782,3782. 겸재정선미술관,25397,2025-06-01,2026-06-30,0.2767255975115171,0.28188368704965155,0.22368783714611962,0.11178485647911171,강서구,강서구 양천로47길 24 ,37.57128906,126.83777618,2020-11-10 00:00:00,10.0,QR,395,64.29620253164558,6.429620253164558,5,5,3,2,5,20,4.2,집중,0
302,302. 경복궁역 6번출구 뒤,29892,2025-06-01,2026-06-30,0.2286230429546367,0.29951157500334535,0.22838886658637764,0.1405727284892279,종로구,서울특별시 종로구 사직로 지하130 경복궁역 4번출구 뒤,37.57594681,126.97406006,2015-10-07 12:04:22,12.0,QR,395,75.6759493670886,6.3063291139240505,5,4,4,2,5,20,4.2,집중,1
4868,4868. 석촌호수 서호 남단,37250,2025-06-01,2026-06-30,0.24426845637583894,0.2677315436241611,0.22891275167785236,0.1851812080536913,송파구,송파구 석촌동 158,37.50717163,127.10124207,2021-05-18 00:00:00,10.0,QR,395,94.30379746835443,9.430379746835444,5,5,3,2,5,20,4.2,집중,1
703,703. 오목교역 7번출구 앞,42528,2025-06-01,2026-06-30,0.1558502633559067,0.37333051166290443,0.22864936042136946,0.1636333709556057,양천구,서울특별시 양천구 목동 451,37.52362823,126.87524414,2016-06-29 12:00:00,12.0,QR,395,107.66582278481013,8.972151898734177,5,3,5,2,5,20,4.2,집중,1
1151,1151. 마곡역1번출구,59399,2025-06-01,2026-06-30,0.19018838700988233,0.3631879324567754,0.2095826529066146,0.13671947339180796,강서구,서울특별시 강서구 마곡동 727-716,37.56020737,126.82414246,2017-11-01 16:00:00,25.0,LCD,395,150.37721518987343,6.015088607594937,5,3,5,2,5,20,4.2,집중,1
1209,1209. 잠실나루역 (2번 출구 쪽),41960,2025-06-01,2026-06-30,0.22123450905624403,0.3332936129647283,0.21198760724499524,0.10834127740705433,송파구,서울특별시 송파구 오금로 20,37.52045059,127.10420227,2017-04-24 13:26:13,20.0,LCD,395,106.22784810126582,5.311392405063291,5,4,4,2,5,20,4.2,집중,1
5082,5082. 가양역 7번출구,61448,2025-06-01,2026-06-30,0.15494401770602786,0.3674977216508267,0.219030725165994,0.17964783231350084,강서구,화곡로 416,37.56019592,126.8549118,2022-06-28 00:00:00,9.0,QR,395,155.5645569620253,17.284950773558368,5,3,5,2,5,20,4.2,집중,1
5080,5080. 가양역 1번출구,42174,2025-06-01,2026-06-30,0.19779959216578935,0.3164034713330488,0.21975624792526202,0.18447384644567744,강서구,양천로57길 10-20,37.56250763,126.85275269,2022-06-16 00:00:00,10.0,QR,395,106.76962025316456,10.676962025316456,5,4,4,2,5,20,4.2,집중,1
1804,1804. 독산역 2번출구 자전거주차장,17246,2025-06-01,2026-06-30,0.28389191696625304,0.3403687811666473,0.18056360895280066,0.13324828945842515,금천구,서울특별시 금천구 벚꽃로 115,37.46652985,126.88871765,2017-05-08 15:42:48,10.0,LCD,395,43.66075949367089,4.366075949367088,4,5,5,1,4,19,4.2,집중,0
1914,1914. 대림역4번출구,33618,2025-06-01,2026-06-30,0.20530668094473198,0.3023975251353442,0.22026890356356713,0.16613123921708609,구로구,서울특별시 구로구 도림천로 351,37.49440384,126.89444733,2017-06-27 15:18:02,10.0,LCD,395,85.10886075949367,8.510886075949367,5,4,4,2,5,20,4.2,집중,1
642,642. 신답역 사거리,23848,2025-06-01,2026-06-30,0.27121771217712176,0.2778430057027843,0.22509225092250923,0.16475176115397516,동대문구,서울특별시 동대문구 천호대로 231,37.57035446,127.0484314,2016-07-06 12:00:00,9.0,QR,395,60.3746835443038,6.708298171589311,5,5,3,2,5,20,4.2,집중,1
3879,3879. 중랑천 뚝방길 산책로 입구,15341,2025-06-01,2026-06-30,0.27149468743888927,0.2738413401994655,0.26191252199986964,0.1708493579297308,광진구,서울특별시 광진구 광진구 동일로 399,37.56628036,127.0774765,2021-06-01 00:00:00,7.0,QR,395,38.8379746835443,5.548282097649186,4,5,3,4,5,21,4.199999999999999,집중,0
5853,5853. 여의도역2번출구 앞,21694,2025-06-01,2026-06-30,0.19609108509265236,0.40513506038536,0.12906794505393196,0.08476998248363603,영등포구,여의도동 의사당대로 88,37.52260971,126.92301178,2022-05-11 00:00:00,10.0,QR,395,54.92151898734177,5.492151898734177,4,4,5,1,5,19,4.15,집중,2
433,433. 을지로입구역 2번출구,22220,2025-06-01,2026-06-30,0.21143114311431144,0.3401890189018902,0.16597659765976597,0.11246624662466247,중구,서울특별시 중구 을지로 지하 42 을지로입구역 1번출구,37.56634521,126.98229218,2018-12-14 00:00:00,12.0,LCD,395,56.25316455696203,4.687763713080169,5,4,5,1,4,19,4.15,집중,2
4386,4386. 현대자동차 동부서비스센터 주변,16305,2025-06-01,2026-06-30,0.25041398344066235,0.31892057651027295,0.1564550751303281,0.15154860472247778,성동구,서울특별시 성동구 성수이로 134 현대자동차써비스(주)동부사업소,37.546978,127.05796814,2022-08-23 00:00:00,5.0,QR,395,41.278481012658226,8.255696202531645,4,5,4,1,5,19,4.15,집중,1
